Descripcion,Asignado,Sector
C_PMGD_BM_COELEMU,C PMGD BM COELEMU,CP
C_PMGD_FV_ARIZTIA,C PMGD FV ARIZTIA,CP
CAE ENTRENAMIENTO DE VUELO CHILE LTDA.,CAE ENTRENAMIENTO DE VUELO CHILE LTDA,COME
CAFFARENA S.A.,CAFFARENA SA,COME
CAI GESTION INMOBILIARIA S.A - VIVO CORP,CAI GESTION INMOBILIARIA SA - VIVO CORP,AIEA
CAIMI,CAIMI,COME
CAJA DE COMPENSACION DE ASIGNACION FAMIL,CAJA DE COMPENSACION DE ASIGNACION FAMIL,ADPD
CALETA BAY EXPORT SPA,CALETA BAY EXPORT SPA,PESC
CALETA_BAY_EXPORT,CALETA BAY EXPORT SPA,PESC
CAMANCHACA CULTIVOS SUR S.A.,CAMANCHACA CULTIVOS SUR SA,PESC
CAMANCHACA PESCA SUR S.A.,CAMANCHACA PESCA SUR SA,PESC
CAMILO FERRON CHILE SA,CAMILO FERRON CHILE SA,IMNM
CAMINA,CAMIÑA,CONS
CANAL 13 SPA,CANAL 13 SPA,OTRO
CANPLAST SUD S. A.,CANPLAST SUD S A,IMNM
CAP HUACHIPATO,CAP HUACHIPATO,IMM
CAP RENGO,CAP RENGO,IMM
CAP_HUACHIPATO,CAP HUACHIPATO,IMM
CAPEL,CAPEL,IMNM
CARLOS VALDOVINOS SPA - Sumar,CARLOS VALDOVINOS SPA - SUMAR,FINA
CARLOS_RECABARREN_SAN_MARTIN,CARLOS RECABARREN SAN MARTIN,OTRO
CARNEGIE INSTITUTION OF WASHINGTON,,
CARNES_ÑUBLE,CARNES ÑUBLE,IMNM
CAROZZI,CAROZZI,IMNM
CARSOL FRUIT,CARSOL FRUIT,COME
CARTONES_SAN_FERNANDO,CARTONES SAN FERNANDO,IMNM
CARVAJAL EMPAQUES S.A.,CARVAJAL EMPAQUES SA,IMNM
Casa de Moneda de Chile S.A.,CASA DE MONEDA DE CHILE SA,IMNM
CASAS_DEL_BOSQUE,CASAS DEL BOSQUE,AGCS
CASINO DE JUEGOS DE IQUIQUE S.A.,CASINO DE JUEGOS DE IQUIQUE SA,OTRO
CASINO DE JUEGOS TEMUCO S.A,CASINO DE JUEGOS TEMUCO SA,OTRO
CASINO DE JUEGOS VALDIVIA S.A.,CASINO DE JUEGOS VALDIVIA SA,AIEA
CASINO MARINA DEL SOL,,
CASINO_ENJOY,CASINO ENJOY,HORE
CASINO_RINCONADA_S.A.,CASINO RINCONADA SA,OTRO
CASINO_RINCONADA_S.A. ,CASINO RINCONADA SA,OTRO
CBB_SANANTONIO,CBB SANANTONIO,IMNM
CCU,CCU,IMNM
CCU AGUAS,CCU AGUAS,IMNM
CCU QUILICURA2,CCU QUILICURA2,IMNM
CCU SAN PEDRO,CCU SAN PEDRO,IMNM
CEC_ALTAMIRACL,CEC ALTAMIRACL,SEGA
CEC_EANDINEXIA,CEC EANDINEXIA,SEGA
CEC_RNARVAEZ,CEC RNARVAEZ,SEGA
CEM,CEM,IMNM
CEMENTO BIO BIO,CEMENTO BIO BIO,IMNM
CEMENTO MELON,CEMENTO MELON,IMNM
CEMENTO POLPAICO,CEMENTO POLPAICO,IMNM
CEMENTO POLPAICO ( Planta Coronel),CEMENTO POLPAICO ( PLANTA CORONEL),IMNM
CEMENTOS LA UNION,CEMENTOS LA UNION,IMNM
CEMENTOS_BICENTENARIO,CEMENTOS BICENTENARIO,IMNM
CEMIN,CEMIN,FINA
CENCOSUD,CENCOSUD,COME
Cencosud - CGE,CENCOSUD,COME
CENCOSUD RETAIL S.A.,CENCOSUD RETAIL,AIEA
Cencosud Retail S.A.,CENCOSUD,COME
CENCOSUD_RETAIL,CENCOSUD RETAIL,AIEA
CENCOSUD_RETAIL_SA,CENCOSUD RETAIL,AIEA
CENCOSUD-CGE,CENCOSUD-CGE,COME
CENCOSUD-CHILQUINTA,CENCOSUD-CHILQUINTA,COME
CENCOSUD-EEPA,CENCOSUD-EEPA,COME
CENCOSUD-ENEL,CENCOSUD-ENEL,COME
CENTRAL_ESCUADRON_SSCC,CENTRAL ESCUADRON SSCC,SEGA
CENTRO COMERCIAL PLAZA AMERICA SPA,CENTRO COMERCIAL PLAZA AMERICA SPA,COME
CENTRO DE CONVENCIONES SANTIAGO,CENTRO DE CONVENCIONES SANTIAGO,HORE
CENTRO DE EVENTOS PARQUE ARAUCANO,CENTRO DE EVENTOS PARQUE ARAUCANO,HORE
CENTRO DE JUSTICIA LA SERENA,,
CENTRO DE SALUD GUNTER MUND Y CIA LTDA.,,
CENTRO MEDICO ANTOFAGASTA,,
CENTRO MEDICO VETERINARIO Y AGRICOLA LTD,CENTRO MEDICO VETERINARIO Y AGRICOLA LTDA,IMNM
CENTRO PRODUCTIVIDAD INDUSTRIAL DEL CAUC,,
CENTROS COMERCIALES ARAUCO EXPRESS,CENTROS COMERCIALES ARAUCO EXPRESS,COME
CENTURY LINK CHILE S.A.,CENTURY LINK CHILE SA,AIEA
CERÁMICA SANTIAGO S.A.,CERÁMICA SANTIAGO SA,IMNM
CEREALES CWP CHILE LTDA,CEREALES CWP CHILE LTDA,IMNM
CERMAQ,CERMAQ CODINER,PESC
CERMAQ CHILE S.A. (lautaro),,
CERMAQ_CHILE_S.A.,CERMAQ CHILE SA,PESC
CERMAQ_CODINER,CERMAQ CODINER,PESC
CERVECERA CCU,CCU,IMNM
CERVECERÍA CCU CHILE LTDA.,CCU,IMNM
CERVECERIA CHILE S.A.,,
CESA - UNIVERSIDAD DE LOS ANDES,CESA - UNIVERSIDAD DE LOS ANDES,SOSA
CESAR COGGIOLA Y CIA LTDA,,
CGE_LIBRE,CGE LIBRE,SEGA
CGED LIBRE,CGE LIBRE,SEGA
CGED_EX_EMELECTRIC LIBRE,CGE LIBRE,SEGA
CGED_LIBRE,CGE LIBRE,SEGA
CHAMPIÑONES ABRANTES S.A.,CHAMPIÑONES ABRANTES SA,AGCS
CHAMPION S.A.,CHAMPION SA-PLIN,IMNM
CHAMPION S.A.-PLIN,CHAMPION SA-PLIN,IMNM
CHAYAHUE,CHAYAHUE,PESC
CHAYANES,CHAYANES,OTRO
CHILE FOOD_EXPORT,CHILE FOOD EXPORT,AGCS
CHILE PANEL S.A.,CHILE PANEL SA,IMNM
CHILE_BOTANICS_S.A.,CHILE BOTANICS SA,AGCS
CHILECTRA,CHILECTRA LIBRE,SEGA
CHILECTRA (CHACAYES),CHILECTRA LIBRE,SEGA
CHILECTRA (HLH),CHILECTRA LIBRE,SEGA
CHILECTRA CHACAYES,CHILECTRA LIBRE,SEGA
CHILECTRA KDM,CHILECTRA LIBRE,SEGA
CHILECTRA LIBRE,CHILECTRA LIBRE,SEGA
CHILECTRA LIBRE (EMOS),CHILECTRA LIBRE,SEGA
CHILECTRA_LIBRE,CHILECTRA LIBRE,SEGA
CHILETRA_LIBRE,CHILECTRA LIBRE,SEGA
Chilexpress S.A.,CHILEXPRESS SA,COME
CHILQUINTA LIBRE,CHILQUINTA LIBRE,SEGA
CHILQUINTA_LIBRE,CHILQUINTA LIBRE,SEGA
CHISA_S.A._(licanco),CHISA SA (LICANCO),AGCS
CHISA_S.A._(picoltue),CHISA SA (PICOLTUE),AGCS
CHRISTENSEN CHILE  S.A,CHRISTENSEN CHILE  SA,MINE
CHRISTIAN_MARCELO_BOLOMEY_SCHUSTER,CHRISTIAN MARCELO BOLOMEY SCHUSTER,OTRO
CHUQUICAMATA,CHUQUICAMATA,MINE
CIA DE TELECOM. DE CHILE S.A.,CIA DE TELECOM DE CHILE SA,TRAC
Cia Exploradora y Explotadora Min Chilen,CIA EXPLORADORA Y EXPLOTADORA MINER,MINE
CIA EXPLORADORA Y EXPLOTADORA MINER,CIA EXPLORADORA Y EXPLOTADORA MINER,MINE
CIA MINERA SAN GERÓNIMO,CIA MINERA SAN GERÓNIMO,MINE
CIA. CERVECERA KUNSTMANN S.A.,,
CIA. FRUTIC. ALESSANDRINI LTDA.,CIA FRUTIC ALESSANDRINI LTDA,AGCS
CIA. MOLINERA S.CRISTOBAL S.A.,CIA MOLINERA SCRISTOBAL SA,IMNM
CÍA. PESQUERA CAMANCHACA S.A.,CÍA PESQUERA CAMANCHACA SA,PESC
CIA. TELECOMUNICACIONES DE CHILE  S.A.,CIA TELECOMUNICACIONES DE CHILE  SA,TRAC
CIA_EXPLORADORA_Y_EXPLOTADORA_MINER,CIA EXPLORADORA Y EXPLOTADORA MINER,MINE
CIA_PESQ_CAMANCHACA,CÍA PESQUERA CAMANCHACA SA,PESC
CIACAMPAC1,CIACAMPAC,IMNM
CIACAMPAC2,CIACAMPAC,IMNM
CIACAMPAC3,CIACAMPAC,IMNM
CIAL ALIMENTOS S. A.,CIAL ALIMENTOS S A,IMNM
CIAL ALIMENTOS S.A.,CIAL ALIMENTOS S A,IMNM
CIAL ALIMENTOS SA.,CIAL ALIMENTOS S A,IMNM
CIC,CIC,COME
CICAL CHILE SPA,CICAL CHILE SPA,IMNM
CINE HOYTS,CINE HOYTS,COME
CINE HOYTS SPA,CINE HOYTS,COME
CINE_HOYTS,CINE HOYTS,COME
CINE_HOYTS_SPA,CINE HOYTS,COME
CINTAC S.A.I.C.,CINTAC SAIC,FINA
CINTAC_S.A.I.C.,CINTAC SAIC,FINA
CIS SEMILLAS S.A.,CIS SEMILLAS SA,AGCS
CITY_GATE,CITY GATE,SEGA
CLARIANT CHILE LTDA,CLARIANT CHILE LTDA,IMNM
CLARO CHILE S.A.,CLARO CHILE SA,TRAC
CLARO CHILE S.A. ARAYA GUTIERREZ,CLARO CHILE SA,TRAC
CLARO COMUNICACIONES SA,CLARO COMUNICACIONES SA,COME
CLARO INFRAESTRUCTURA 171 S.A.,CLARO INFRAESTRUCTURA 171 SA,AIEA
CLEANAIRTECH_EB2,CLEANAIRTECH EB3,SEGA
CLEANAIRTECH_PD,CLEANAIRTECH EB4,SEGA
Cliente libre ELIQSA,ELIQSA,SEGA
CLIENTE_PESQUERA_ITATA,CLIENTE PESQUERA ITATA,PESC
CLIENTES_TARAP,TMMP,OTRO
CLINICA ALEMANA DE SANTIAGO S.A.,CLINICA ALEMANA DE SANTIAGO SA,SOSA
CLINICA ALEMANA SANTIAGO S.A.,CLINICA ALEMANA DE SANTIAGO SA,SOSA
CLINICA AVANSALUD PROVIDENCIA S.A.,CLINICA AVANSALUD PROVIDENCIA SA,SOSA
CLINICA BICENTARIO S.P.A.,CLINICA BICENTARIO SPA,SOSA
CLINICA CIUDAD DEL MAR S.A,,
CLINICA DAVILA,CLINICA DAVILA,SOSA
CLINICA SANTA MARIA S.A.,CLINICA SANTA MARIA SA,SOSA
CLINICA UNIVERSIDAD DE LOS ANDES,CLINICA UNIVERSIDAD DE LOS ANDES,SOSA
CLINICA VALPO PRESTACIONE HOSPITALIZADAS,CLINICA VALPO PRESTACIONE HOSPITALIZADAS,SOSA
CLINICA VALPO PRESTACIONE HOSPITALIZADAS S.A. ,CLINICA VALPO PRESTACIONE HOSPITALIZADAS,SOSA
CLINICA_ALEMANA_DE_VALDIVIA,CLINICA ALEMANA DE VALDIVIA,SOSA
CLINICA_LAS_CONDES,CLINICA LAS CONDES,SOSA
CLINICA_PUERTO_VARAS,CLINICA PUERTO VARAS,SOSA
CLINICA_RENACA_S.A.,CLINICA RENACA SA,SOSA
CLOROX,CLOROX,IMNM
Clt Centro El Belloto,CLT CENTRO EL BELLOTO,TRAC
Clt Guadalquivir,CLT GUADALQUIVIR,FINA
Clt Paris Baron,CLT PARIS BARON,OTRO
Clt Portal El Belloto,CLT PORTAL EL BELLOTO,COME
CLUB DEPORTIVOS MANQUEHUE,CLUB DEPORTIVOS MANQUEHUE,OTRO
CLUB HIPICO DE SANTIAGO,,
CMDLC_EL_BRONCE,CMDLC EL BRONCE,MINE
CMP ALGARROBO,CMP ALGARROBO,AGCS
CMP CERRO NEGRO NORTE,CMP CERRO NEGRO NORTE,AGCS
CMP DESALADORA,CMP DESALADORA,IMNM
CMP LOS COLORADOS,CMP LOS COLORADOS,AGCS
CMP MAGNETITA,CMP MAGNETITA,AGCS
CMP PELLETS,CMP PELLETS,AGCS
CMP PUERTO,CMP PUERTO,AGCS
CMP ROMERAL,CMP ROMERAL,AGCS
CMPC (MININCO),CMPC MININCO,AGCS
CMPC AGA LAJA,CMPC AGA LAJA,AGCS
CMPC CARTULINAS-CHUMPULLO,CMPC CARTULINAS-CHUMPULLO,AGCS
CMPC CARTULINAS-MAULE,CMPC CARTULINAS-MAULE,AGCS
CMPC CELULOSA,CMPC CELULOSA,AGCS
CMPC CORONEL,CMPC CORONEL,AGCS
CMPC ERCO,CMPC ERCO,AGCS
CMPC INDURA,CMPC INDURA,AGCS
CMPC LAJA,CMPC LAJA,AGCS
CMPC LOS ANGELES,CMPC LOS ANGELES,AGCS
CMPC MADERAS,CMPC MADERAS,AGCS
CMPC MAD-MININCO,CMPC MAD-MININCO,AGCS
CMPC MAULE,CMPC MAULE,AGCS
CMPC MULCHEN,CMPC MULCHEN,AGCS
CMPC Nacimiento,CMPC NACIMIENTO,AGCS
CMPC PACIFICO,CMPC PACIFICO,AGCS
CMPC PAPELES CORDILLERA,CMPC PAPELES CORDILLERA,AGCS
CMPC PLYWOOD,CMPC PLYWOOD,AGCS
CMPC SANTAFE,CMPC SANTAFE,AGCS
CMPC TISSUE,CMPC TISSUE,AGCS
CMPC_TISSUE,CMPC TISSUE,AGCS
COAGRA,COAGRA,AGCS
COAGRA AGROINDUSTRIAL S. A.,COAGRA,AGCS
COAGRA S.A.,COAGRA,AGCS
COBRE CERRILLOS S.A,COBRE CERRILLOS SA,MINE
COCA COLA EMBONOR S.A. 1,COCA COLA EMBONOR SA,IMNM
COCA COLA EMBONOR S.A. 2,COCA COLA EMBONOR SA,IMNM
COCA COLA EMBONOR SA,COCA COLA EMBONOR SA,IMNM
COCA COLA EMBONOR SA ,COCA COLA EMBONOR SA,IMNM
COCA_COLA_EMBONOR,COCA COLA EMBONOR SA,IMNM
COCA_COLA_EMBONOR_S.A.,COCA COLA EMBONOR SA,IMNM
CODELCO,CODELCO,MINE
CODELCO A-D.ALMAGRO,CODELCO A-DALMAGRO,MINE
CODELCO A-EL LLANO,CODELCO A-EL LLANO,MINE
CODELCO A-MAQUI,CODELCO A-MAQUI,MINE
CODELCO ANDINA-SALADILLO,CODELCO ANDINA-SALADILLO,MINE
CODELCO MINEROS,CODELCO MINEROS,MINE
CODELCO VENTANAS,CODELCO VENTANAS,MINE
COEMBAL CHILE S.A.,COEMBAL CHILE SA,IMNM
COEMIN,COEMIN,AIEA
COEXCA,COEXCA,COME
COEXPAN CHILE S.A.,COEXPAN CHILE SA,IMNM
COL_ALEMAN_PVARAS,COL ALEMAN PVARAS,ENSE
COLADA CONTINUA CHILENA S.A,COLADA CONTINUA CHILENA SA,IMM
COLCURA S.A.,COLCURA SA,AGCS
COLEGIO_EMPRENDER,COLEGIO EMPRENDER,ENSE
COLINA,COLINA,OTRO
Collahuasi Puerto (CLIENTES_TARAP),COLLAHUASI PUERTO,MINE
COLLIPULLI RED SOIL S.A,,
COLOWALL DISEÑO LTDA,COLOWALL DISEÑO LTDA,IMNM
COLUN,COLUN,AGCS
COLUN LTDA.,COLUN,AGCS
COM  EDIFICIO PALLADIO  1760,COM  EDIFICIO PALLADIO  1761,EDCO
COM PANAMERICANA S.A.,COM PANAMERICANA SA,HORE
COM. COPRO.PARCELACION QUEBRADA LOS QUIL,COM PARCELACION QUEBRADA LOS QUILLAYES,OTRO
COM. COPRO.PARCELACION QUEBRADA LOS QUILLAYES,COM PARCELACION QUEBRADA LOS QUILLAYES,OTRO
COM. EDIF. TORRES DE LA COSTANERA Y VITA,COM EDIF TORRES DE LA COSTANERA Y VITA,EDCO
COM. KAUFMANN S.A.,KAUFMANN,COME
COMAFRI,COMAFRI,IMNM
COMERCIAL ALAMEDA SPA,COMERCIAL ALAMEDA SPA,AGCS
COMERCIAL ATEURO LIMITADA,COMERCIAL ATEURO LIMITADA,AGCS
COMERCIAL CHAU S.A.,,
COMERCIAL DIALUM S.A.,COMERCIAL DIALUM SA,IMM
COMERCIAL E INDUSTRIAL PLASTICOS HOFFENS,COMERCIAL E INDUSTRIAL PLASTICOS HOFFENS,IMNM
COMERCIAL E INDUSTRIAL PLASTICOS HOFFENS S.A.,COMERCIAL E INDUSTRIAL PLASTICOS HOFFENS,IMNM
COMERCIAL ECCSA S.A,COMERCIAL ECCSA SA,FINA
COMERCIAL ECCSA S.A.,COMERCIAL ECCSA SA,FINA
COMERCIAL EL REMANSO S.A.,,
COMERCIAL GREENVIC S.A.,COMERCIAL GREENVIC SA,AGCS
Comercial Guivar Ltda.,COMERCIAL GUIVAR,AGCS
Comercial Icom SpA,COMERCIAL DIALUM SA,IMM
Comercial Río Blanco Spa,COMERCIAL RIO BLANCO,AGCS
COMERCIAL RUVER LTDA.,COMERCIAL RUVER LTDA,IMNM
COMERCIAL VIÑA LA RONCIERE,COMERCIAL VIÑA LA RONCIERE,IMNM
COMERCIAL YOLANDA,COMERCIAL YOLANDA,IMNM
COMERCIAL YOLANDA LTDA.,COMERCIAL YOLANDA,IMNM
COMERCIAL_E_INVERSIONES_LOS_LINGUES,COMERCIAL E INVERSIONES LOS LINGUES,COME
COMERCIAL_GREENVIC_S.A.,COMERCIAL GREENVIC SA,AGCS
COMERCIAL_RIO_BLANCO,COMERCIAL RIO BLANCO,AGCS
COMERCIALIZADORA ANDINA SA,COMERCIALIZADORA ANDINA SA,COME
COMERCIALIZADORA DE PLASTICOS LTDA.,COMERCIALIZADORA DE PLASTICOS LTDA,IMNM
COMERCIALIZADORA NOVAVERDE,COMERCIALIZADORA NOVAVERDE,AGCS
COMERCIALIZADORA NOVAVERDE LTDA,COMERCIALIZADORA NOVAVERDE,AGCS
Comercializadora Novaverde S.A.,COMERCIALIZADORA NOVAVERDE,AGCS
COMERCIALIZADORA SOUTHERN TULIPS SPA,COMERCIALIZADORA SOUTHERN TULIPS SPA,AGCS
COMERSUR S.A,COMERSUR SA,COME
COMISIÓN CHILENA DE ENERGÍA NUCLEAR,COMISIÓN CHILENA DE ENERGÍA NUCLEAR,ADPD
COMPAGNON BERNABE S.A.,COMPAGNON BERNABE SA,IMNM
COMPANIA CHILENA DE FOSFOROS S.A.,COMPANIA CHILENA DE FOSFOROS SA,IMNM
COMPANIA EXPLOTADORA MINERA SAN ANDRES L,COMPANIA EXPLOTADORA MINERA SAN ANDRES LTDA,MINE
COMPANIA EXPLOTADORA MINERA SAN ANDRES LTDA.,COMPANIA EXPLOTADORA MINERA SAN ANDRES LTDA,MINE
COMPAÑIA AGRICOLA DEL VALLE S.A.,COMPAÑIA AGRICOLA DEL VALLE SA,AGCS
COMPAÑIA CHILENA DE SOLDADURAS ESPECIALE,COMPAÑIA CHILENA DE SOLDADURAS ESPECIALE,IMM
COMPAÑÍA EXPLOTADORA DE MINAS SPA,COMPAÑÍA EXPLOTADORA DE MINAS SPA,MINE
COMPAÑIA INDUSTRIAL EL VOLCAN S.A,COMPAÑIA INDUSTRIAL EL VOLCAN SA,IMNM
COMPAÑIA INDUSTRIAL EL VOLCAN S.A.,COMPAÑIA INDUSTRIAL EL VOLCAN SA,IMNM
COMPAÑÍA MINERA SAN GERÓNIMO,,
COMPAÑÍA MINERA SANTA LAURA LIMITADA,COMPAÑÍA MINERA SANTA LAURA LIMITADA,MINE
COMPAÑIA MOLINERA CENTRO SUR LIMITADA,COMPAÑIA MOLINERA CENTRO SUR LIMITADA,IMNM
COMPAÑIA PISQUERA DE CHILE S.A.,COMPAÑIA PISQUERA DE CHILE SA,PESC
COMPAÑÍA SEGUROS DE VIDA SECURITY PREVIS,COMPAÑÍA SEGUROS DE VIDA SECURITY PREVISIÓN SA,FINA
COMPAÑÍA SEGUROS DE VIDA SECURITY PREVISIÓN SA,COMPAÑÍA SEGUROS DE VIDA SECURITY PREVISIÓN SA,FINA
COMSUR,COMSUR,AIEA
COMUN. EDIF. CAMARA CH. CONST,COMUNIDAD EDIF CAMARA CH CONST,EDCO
COMUNICACIONES NETGLOBALIS S .A,COMUNICACIONES NETGLOBALIS S A,COME
COMUNIDAD COMPLEJO BOULEVARD KENNEDY,COMUNIDAD COMPLEJO BOULEVARD KENNEDY,OTRO
COMUNIDAD CONDOMINIO GOLF 2001,COMUNIDAD CONDOMINIO GOLF 2001,EDCO
COMUNIDAD CONDOMINIO TORRE CERRO EL PLOM,COMUNIDAD CONDOMINIO TORRE CERRO EL PLOMO,EDCO
COMUNIDAD CONDOMINIO TORRE CERRO EL PLOMO,COMUNIDAD CONDOMINIO TORRE CERRO EL PLOMO,EDCO
COMUNIDAD DEL EDIFICIO DEL COMERCIO,COMUNIDAD DEL EDIFICIO DEL COMERCIO,EDCO
COMUNIDAD DEL EDIFICIO EL GOLF 82,COMUNIDAD DEL EDIFICIO EL GOLF 82,EDCO
COMUNIDAD DEL EDIFICIO TORRE LAS CONDES,COMUNIDAD DEL EDIFICIO TORRE LAS CONDES,EDCO
COMUNIDAD EDIF. PASEO LAS PALMAS,COMUNIDAD EDIF PASEO LAS PALMAS,EDCO
COMUNIDAD EDIFICIO AGF,COMUNIDAD EDIFICIO AGF,EDCO
COMUNIDAD EDIFICIO ALCANTARA 200,COMUNIDAD EDIFICIO ALCANTARA 200,EDCO
COMUNIDAD EDIFICIO ALCANTARA APOQUINDO,COMUNIDAD EDIFICIO ALCANTARA APOQUINDO,EDCO
COMUNIDAD EDIFICIO ALSACIA,COMUNIDAD EDIFICIO ALSACIA,EDCO
COMUNIDAD EDIFICIO APOQUINDO 3500,COMUNIDAD EDIFICIO APOQUINDO 3500,EDCO
COMUNIDAD EDIFICIO APOQUINDO 3600,COMUNIDAD EDIFICIO APOQUINDO 3600,EDCO
COMUNIDAD EDIFICIO APOQUINDO 3910,COMUNIDAD EDIFICIO APOQUINDO 3910,EDCO
COMUNIDAD EDIFICIO APOQUINDO 5400,COMUNIDAD EDIFICIO APOQUINDO 5400,EDCO
COMUNIDAD EDIFICIO ARRAU,COMUNIDAD EDIFICIO ARRAU,EDCO
COMUNIDAD EDIFICIO BANDERA 76,COMUNIDAD EDIFICIO BANDERA 76,EDCO
COMUNIDAD EDIFICIO BURGOS,COMUNIDAD EDIFICIO BURGOS,EDCO
COMUNIDAD EDIFICIO CCU,COMUNIDAD EDIFICIO CCU,EDCO
COMUNIDAD EDIFICIO CERRO EL PLOMO 6000,COMUNIDAD EDIFICIO CERRO EL PLOMO 6000,EDCO
COMUNIDAD EDIFICIO COSTANERA LYON,COMUNIDAD EDIFICIO COSTANERA LYON,EDCO
COMUNIDAD EDIFICIO COSTANERA LYON DOS,COMUNIDAD EDIFICIO COSTANERA LYON DOS,EDCO
COMUNIDAD EDIFICIO COSTANERA PUENTE SUEC,COMUNIDAD EDIFICIO COSTANERA LYON,EDCO
COMUNIDAD EDIFICIO COSTANERA PUENTE SUECIA,COMUNIDAD EDIFICIO COSTANERA LYON,EDCO
COMUNIDAD EDIFICIO DE LA INDUSTRIA,COMUNIDAD EDIFICIO DE LA INDUSTRIA,EDCO
COMUNIDAD EDIFICIO DE LAS ARTES TORRE 6,COMUNIDAD EDIFICIO DE LAS ARTES TORRE 6,EDCO
COMUNIDAD EDIFICIO DE LAS ARTES TORRE 8,COMUNIDAD EDIFICIO DE LAS ARTES TORRE 8,EDCO
COMUNIDAD EDIFICIO DE LAS ARTES TORRE 8 ,COMUNIDAD EDIFICIO DE LAS ARTES TORRE 8,EDCO
COMUNIDAD EDIFICIO DE LAS ARTES TORRE 8 LOCALES COMERCIALES,COMUNIDAD EDIFICIO DE LAS ARTES TORRE 8,EDCO
COMUNIDAD EDIFICIO DEL PACIFICO,COMUNIDAD EDIFICIO DEL PACIFICO,EDCO
COMUNIDAD EDIFICIO EL BOSQUE 500,COMUNIDAD EDIFICIO EL BOSQUE 50,EDCO
COMUNIDAD EDIFICIO EL GOLF 99,,
COMUNIDAD EDIFICIO GENESIS,,
COMUNIDAD EDIFICIO HUIDOBRO,COMUNIDAD EDIFICIO HUIDOBRO,EDCO
COMUNIDAD EDIFICIO ISIDORA 2000,COMUNIDAD EDIFICIO ISIDORA 2000,EDCO
COMUNIDAD EDIFICIO ISIDORA GOYENECHEA 35,COMUNIDAD EDIFICIO ISIDORA GOYENECHEA 3520,EDCO
COMUNIDAD EDIFICIO ISIDORA GOYENECHEA 3520,COMUNIDAD EDIFICIO ISIDORA GOYENECHEA 3520,EDCO
COMUNIDAD EDIFICIO ISIDORA MAGDALENA,COMUNIDAD EDIFICIO ISIDORA MAGDALENA,EDCO
Comunidad Edificio Itau,COMUNIDAD EDIFICIO ITAU,EDCO
COMUNIDAD EDIFICIO JARDINES DE LAS CONDE,COMUNIDAD EDIFICIO JARDINES DE LAS CONDES,EDCO
COMUNIDAD EDIFICIO JARDINES DE LAS CONDES,COMUNIDAD EDIFICIO JARDINES DE LAS CONDES,EDCO
COMUNIDAD EDIFICIO LAS AMERICAS-1,COMUNIDAD EDIFICIO LAS AMERICAS-1,EDCO
COMUNIDAD EDIFICIO LAS AMERICAS-2,COMUNIDAD EDIFICIO LAS AMERICAS-2,EDCO
COMUNIDAD EDIFICIO LAS AMERICAS-3,COMUNIDAD EDIFICIO LAS AMERICAS-3,EDCO
COMUNIDAD EDIFICIO MAGDALENA NORTE,COMUNIDAD EDIFICIO MAGDALENA NORTE,EDCO
COMUNIDAD EDIFICIO MAGNUS 2,COMUNIDAD EDIFICIO MAGNUS 3,EDCO
COMUNIDAD EDIFICIO MANANTIALES,COMUNIDAD EDIFICIO MANANTIALES,EDCO
COMUNIDAD EDIFICIO MATTA 530,COMUNIDAD EDIFICIO MATTA 530,EDCO
COMUNIDAD EDIFICIO MGV,COMUNIDAD EDIFICIO MGV,EDCO
COMUNIDAD EDIFICIO MILLENIUM,COMUNIDAD EDIFICIO MILLENIUM,EDCO
COMUNIDAD EDIFICIO MISTRAL 615,COMUNIDAD EDIFICIO MISTRAL 615,EDCO
COMUNIDAD EDIFICIO MUTUAL DE SEGURIDAD,,
COMUNIDAD EDIFICIO NERUDA,COMUNIDAD EDIFICIO NERUDA,EDCO
COMUNIDAD EDIFICIO NOGUERA OFFICE,COMUNIDAD EDIFICIO NOGUERA OFFICE,EDCO
COMUNIDAD EDIFICIO NUEVA APOQUINDO TORRE,COMUNIDAD EDIFICIO NUEVA APOQUINDO TORRE II,EDCO
COMUNIDAD EDIFICIO NUEVA APOQUINDO TORRE II,COMUNIDAD EDIFICIO NUEVA APOQUINDO TORRE II,EDCO
COMUNIDAD EDIFICIO NUEVA LA DEHESA TORRE,COMUNIDAD EDIFICIO NUEVA LA DEHESA,EDCO
COMUNIDAD EDIFICIO NUEVA LA DEHESA TORRE NORTE,COMUNIDAD EDIFICIO NUEVA LA DEHESA,EDCO
COMUNIDAD EDIFICIO NUEVA LA DEHESA TORRE SUR (NLD TS),COMUNIDAD EDIFICIO NUEVA LA DEHESA,EDCO
COMUNIDAD EDIFICIO NUEVA VITACURA,COMUNIDAD EDIFICIO NUEVA VITACURA,EDCO
COMUNIDAD EDIFICIO OFICINAS DE CORDOVA,COMUNIDAD EDIFICIO OFICINAS DE CORDOVA,EDCO
COMUNIDAD EDIFICIO PARQUE ARAUCANO,COMUNIDAD EDIFICIO PARQUE ARAUCANO,EDCO
Comunidad Edificio Parque Oriente,COMUNIDAD EDIFICIO PARQUE ORIENTE,EDCO
COMUNIDAD EDIFICIO PARQUE SUR,COMUNIDAD EDIFICIO PARQUE SUR,EDCO
COMUNIDAD EDIFICIO PASEO APOQUINDO III,COMUNIDAD EDIFICIO PASEO APOQUINDO III,EDCO
COMUNIDAD EDIFICIO REYES LAVALLE,,
